,video_frame,left,width,top,height,label
7834,57995_000109_Sideline_353,809,16,385,14,H94
7835,57995_000109_Sideline_353,643,13,338,13,V60
7836,57995_000109_Sideline_353,894,13,200,12,H59
7837,57995_000109_Sideline_353,665,11,177,13,H93
7838,57995_000109_Sideline_353,768,12,141,12,H23
7841,57995_000109_Sideline_353,788,10,141,10,H30
7843,57995_000109_Sideline_353,0,7,250,14,V15
7852,57995_000109_Sideline_354,443,14,403,13,H99
7853,57995_000109_Sideline_354,736,13,350,13,H91
7854,57995_000109_Sideline_354,970,13,264,13,H21
7855,57995_000109_Sideline_354,745,13,220,13,V68
7856,57995_000109_Sideline_354,332,13,371,12,V65
7857,57995_000109_Sideline_354,702,13,311,13,H52
7858,57995_000109_Sideline_354,440,13,295,12,V74
7859,57995_000109_Sideline_354,798,12,232,12,H36
7860,57995_000109_Sideline_354,696,14,387,13,V77
7861,57995_000109_Sideline_354,490,13,411,14,V75
7862,57995_000109_Sideline_354,550,13,206,12,V83
7863,57995_000109_Sideline_354,743,13,174,11,V12
7864,57995_000109_Sideline_354,808,16,385,14,H94
7865,57995_000109_Sideline_354,894,13,200,12,H59
7866,57995_000109_Sideline_354,886,13,319,13,V17
7867,57995_000109_Sideline_354,727,11,127,12,V27
7868,57995_000109_Sideline_354,664,12,178,13,H93
7869,57995_000109_Sideline_354,667,12,268,13,H97
7870,57995_000109_Sideline_354,768,12,141,12,H23
7871,57995_000109_Sideline_354,641,13,341,11,V60
7874,57995_000109_Sideline_354,786,11,141,10,H30
7877,57995_000109_Sideline_354,0,6,252,13,V15
7880,57995_000109_Sideline_355,442,14,403,13,H99
7881,57995_000109_Sideline_355,744,13,220,13,V68
7882,57995_000109_Sideline_355,735,13,350,13,H91
7883,57995_000109_Sideline_355,702,13,311,12,H52
7884,57995_000109_Sideline_355,329,14,372,13,V65
7885,57995_000109_Sideline_355,488,13,411,15,V75
7886,57995_000109_Sideline_355,970,12,263,13,H21
7887,57995_000109_Sideline_355,796,13,232,12,H36
7888,57995_000109_Sideline_355,438,13,295,13,V74
7889,57995_000109_Sideline_355,807,16,385,14,H94
7890,57995_000109_Sideline_355,549,13,206,12,V83
7891,57995_000109_Sideline_355,666,14,267,14,H97
7892,57995_000109_Sideline_355,696,13,390,12,V77
7893,57995_000109_Sideline_355,894,13,200,12,H59
7894,57995_000109_Sideline_355,727,11,126,13,V27
7895,57995_000109_Sideline_355,743,12,174,11,V12
7896,57995_000109_Sideline_355,665,12,178,14,H93
7897,57995_000109_Sideline_355,640,12,341,13,V60
7898,57995_000109_Sideline_355,886,11,320,12,V17
7899,57995_000109_Sideline_355,768,12,141,11,H23
7907,57995_000109_Sideline_355,785,11,141,9,H30
7910,57995_000109_Sideline_356,328,13,373,14,V65
7911,57995_000109_Sideline_356,487,13,413,14,V75
7912,57995_000109_Sideline_356,743,13,219,13,V68
7913,57995_000109_Sideline_356,441,15,405,12,H99
7914,57995_000109_Sideline_356,734,14,349,14,H91
7915,57995_000109_Sideline_356,701,13,311,13,H52
7916,57995_000109_Sideline_356,794,13,233,11,H36
7917,57995_000109_Sideline_356,696,12,391,12,V77
7918,57995_000109_Sideline_356,969,13,263,13,H21
7919,57995_000109_Sideline_356,436,13,296,13,V74
7920,57995_000109_Sideline_356,894,13,201,12,H59
7921,57995_000109_Sideline_356,666,12,268,14,H97
7922,57995_000109_Sideline_356,638,13,343,12,V60
7923,57995_000109_Sideline_356,548,13,205,13,V83
7924,57995_000109_Sideline_356,742,11,174,12,V12
7925,57995_000109_Sideline_356,886,13,321,12,V17
7926,57995_000109_Sideline_356,727,11,128,12,H23
7927,57995_000109_Sideline_356,665,12,179,14,H93
7928,57995_000109_Sideline_356,807,16,385,13,H94
7929,57995_000109_Sideline_356,767,12,140,12,H30
7940,57995_000109_Sideline_357,733,14,350,13,H91
7941,57995_000109_Sideline_357,485,13,414,14,V75
7942,57995_000109_Sideline_357,742,13,220,12,V68
7943,57995_000109_Sideline_357,701,13,311,13,H52
7944,57995_000109_Sideline_357,325,14,375,13,V65
7945,57995_000109_Sideline_357,695,13,391,12,V77
7946,57995_000109_Sideline_357,792,13,233,12,H36
7947,57995_000109_Sideline_357,434,13,296,13,V74
7948,57995_000109_Sideline_357,441,14,406,12,H99
7949,57995_000109_Sideline_357,637,13,344,12,V60
7950,57995_000109_Sideline_357,727,12,129,12,V27
7951,57995_000109_Sideline_357,547,13,206,12,V83
7952,57995_000109_Sideline_357,968,13,262,13,H21
7953,57995_000109_Sideline_357,893,13,201,13,H59
7954,57995_000109_Sideline_357,664,13,180,13,H93
7955,57995_000109_Sideline_357,665,13,269,14,H97
7956,57995_000109_Sideline_357,885,12,321,12,V17
7957,57995_000109_Sideline_357,806,16,385,14,H94
7958,57995_000109_Sideline_357,741,11,175,11,V12
7961,57995_000109_Sideline_357,767,11,141,11,H23
7966,57995_000109_Sideline_357,782,11,141,10,H30
7971,57995_000109_Sideline_358,432,14,297,13,V74
7972,57995_000109_Sideline_358,664,13,270,13,V68
7973,57995_000109_Sideline_358,732,14,351,13,H91
7974,57995_000109_Sideline_358,483,13,416,14,V75
7975,57995_000109_Sideline_358,322,15,376,14,V65
7976,57995_000109_Sideline_358,742,11,220,12,V12
7977,57995_000109_Sideline_358,700,13,311,13,H97
7978,57995_000109_Sideline_358,636,12,346,12,V60
7979,57995_000109_Sideline_358,546,14,206,12,V83
7980,57995_000109_Sideline_358,440,13,407,12,H99
7981,57995_000109_Sideline_358,885,12,322,13,V17
7982,57995_000109_Sideline_358,792,12,233,12,H36
7983,57995_000109_Sideline_358,694,14,393,13,V77
7984,57995_000109_Sideline_358,967,13,263,12,H21
7985,57995_000109_Sideline_358,740,12,177,11,H30
7986,57995_000109_Sideline_358,727,11,130,12,V27
7987,57995_000109_Sideline_358,807,14,386,12,H94
7988,57995_000109_Sideline_358,664,13,180,13,H93
7989,57995_000109_Sideline_358,892,13,203,11,H59
7992,57995_000109_Sideline_358,699,13,315,15,H52
7997,57995_000109_Sideline_358,765,12,143,10,H23
8001,57995_000109_Sideline_359,699,13,310,14,H52
8002,57995_000109_Sideline_359,431,13,298,13,V74
8003,57995_000109_Sideline_359,321,14,378,14,V65
8004,57995_000109_Sideline_359,662,14,271,13,H97
8005,57995_000109_Sideline_359,731,14,350,13,H91
8006,57995_000109_Sideline_359,546,12,206,12,V83
8007,57995_000109_Sideline_359,481,12,418,13,V75
8008,57995_000109_Sideline_359,741,11,220,12,V68
8009,57995_000109_Sideline_359,438,14,407,13,H99
8010,57995_000109_Sideline_359,634,13,347,11,V60
8011,57995_000109_Sideline_359,884,13,323,13,V17
8012,57995_000109_Sideline_359,791,11,232,12,H36
8013,57995_000109_Sideline_359,693,15,393,13,V77
8014,57995_000109_Sideline_359,727,12,131,12,H30
8015,57995_000109_Sideline_359,891,13,201,13,H59
8016,57995_000109_Sideline_359,966,11,262,12,H21
8017,57995_000109_Sideline_359,805,15,385,14,H94
8018,57995_000109_Sideline_359,663,13,181,14,H93
8019,57995_000109_Sideline_359,738,13,177,11,V12
794,57995_000109_Sideline_36,796,17,481,18,H21
795,57995_000109_Sideline_36,1097,19,325,18,H30
796,57995_000109_Sideline_36,677,17,230,16,H59
797,57995_000109_Sideline_36,681,16,314,17,H52
798,57995_000109_Sideline_36,740,15,148,17,H23
799,57995_000109_Sideline_36,462,15,174,15,V12
800,57995_000109_Sideline_36,675,17,395,16,H36
801,57995_000109_Sideline_36,190,15,323,16,V27
802,57995_000109_Sideline_36,495,15,286,16,V68
803,57995_000109_Sideline_36,520,15,281,17,H97
804,57995_000109_Sideline_36,525,15,214,16,H93
805,57995_000109_Sideline_36,475,15,373,18,V75
806,57995_000109_Sideline_36,474,15,223,15,V83
807,57995_000109_Sideline_36,510,17,415,16,H94
808,57995_000109_Sideline_36,461,15,395,17,V77
809,57995_000109_Sideline_36,500,14,380,16,H91
810,57995_000109_Sideline_36,508,14,321,17,V65
811,57995_000109_Sideline_36,411,15,319,15,V15
812,57995_000109_Sideline_36,479,16,330,18,V60
813,57995_000109_Sideline_36,436,16,461,15,V17
814,57995_000109_Sideline_36,471,15,262,19,V74
8029,57995_000109_Sideline_360,698,13,311,14,H52
8030,57995_000109_Sideline_360,740,12,220,12,V68
8031,57995_000109_Sideline_360,731,14,351,12,H91
8032,57995_000109_Sideline_360,428,13,300,12,V74
8033,57995_000109_Sideline_360,632,14,348,11,V60
8034,57995_000109_Sideline_360,319,14,380,13,V65
8035,57995_000109_Sideline_360,544,14,206,13,V83
8036,57995_000109_Sideline_360,479,12,418,13,V75
8037,57995_000109_Sideline_360,883,13,323,13,V17
8038,57995_000109_Sideline_360,662,13,271,13,H97
8039,57995_000109_Sideline_360,437,13,409,13,H99
8040,57995_000109_Sideline_360,693,13,395,12,V77
8041,57995_000109_Sideline_360,790,11,232,12,H36
8042,57995_000109_Sideline_360,727,11,132,12,V27
8043,57995_000109_Sideline_360,965,12,261,13,H21
8044,57995_000109_Sideline_360,891,13,203,12,H59
8045,57995_000109_Sideline_360,736,13,178,12,V12
8046,57995_000109_Sideline_360,804,16,386,14,H94
8047,57995_000109_Sideline_360,663,13,182,14,H93
8054,57995_000109_Sideline_360,765,12,143,13,H23
8057,57995_000109_Sideline_360,780,10,142,12,H30
8059,57995_000109_Sideline_361,426,14,301,12,V74
8060,57995_000109_Sideline_361,739,13,220,13,V68
8061,57995_000109_Sideline_361,730,13,351,13,H91
8062,57995_000109_Sideline_361,436,14,411,12,H99
8063,57995_000109_Sideline_361,317,14,381,14,V65
8064,57995_000109_Sideline_361,883,13,323,13,V17
8065,57995_000109_Sideline_361,697,13,311,14,H52
8066,57995_000109_Sideline_361,543,14,207,12,V83
8067,57995_000109_Sideline_361,632,13,349,11,V60
8068,57995_000109_Sideline_361,693,13,396,12,V77
8069,57995_000109_Sideline_361,477,13,420,13,V75
8070,57995_000109_Sideline_361,789,13,233,11,H36
8071,57995_000109_Sideline_361,661,13,273,12,H97
8072,57995_000109_Sideline_361,727,12,133,11,V27
8073,57995_000109_Sideline_361,965,11,262,12,H21
8074,57995_000109_Sideline_361,663,13,181,15,H93
8075,57995_000109_Sideline_361,737,11,178,12,V12
8076,57995_000109_Sideline_361,805,15,387,14,H94
8077,57995_000109_Sideline_361,888,14,201,13,H59
8081,57995_000109_Sideline_361,765,10,144,12,H23
8085,57995_000109_Sideline_361,777,10,142,11,H30
8089,57995_000109_Sideline_362,425,13,303,11,V74
8090,57995_000109_Sideline_362,729,14,351,14,H91
8091,57995_000109_Sideline_362,882,13,323,13,V17
8092,57995_000109_Sideline_362,739,13,221,12,V68
8093,57995_000109_Sideline_362,435,14,411,15,H99
8094,57995_000109_Sideline_362,543,13,207,13,V83
8095,57995_000109_Sideline_362,661,13,272,14,H97
8096,57995_000109_Sideline_362,475,13,421,12,V75
8097,57995_000109_Sideline_362,692,14,396,13,V77
8098,57995_000109_Sideline_362,631,12,349,11,V60
8099,57995_000109_Sideline_362,697,13,312,13,H52
8100,57995_000109_Sideline_362,315,14,383,13,V65
8101,57995_000109_Sideline_362,788,13,233,11,H36
8102,57995_000109_Sideline_362,805,15,388,14,H94
8103,57995_000109_Sideline_362,735,12,178,12,V12
8104,57995_000109_Sideline_362,889,13,202,13,H59
8105,57995_000109_Sideline_362,963,13,262,12,H21
8106,57995_000109_Sideline_362,728,11,133,11,V27
8107,57995_000109_Sideline_362,663,13,181,14,H93
8112,57995_000109_Sideline_362,765,10,144,11,H23
8115,57995_000109_Sideline_362,775,10,143,11,H30
8117,57995_000109_Sideline_363,882,13,323,13,V17
8118,57995_000109_Sideline_363,728,14,352,14,H91
8119,57995_000109_Sideline_363,433,14,412,14,H99
8120,57995_000109_Sideline_363,423,13,303,12,V74
8121,57995_000109_Sideline_363,660,13,272,14,H97
8122,57995_000109_Sideline_363,691,14,397,13,V77
8123,57995_000109_Sideline_363,542,13,208,12,V83
8124,57995_000109_Sideline_363,313,14,384,13,V65
8125,57995_000109_Sideline_363,738,13,221,13,V68
8126,57995_000109_Sideline_363,888,13,201,13,H59
8127,57995_000109_Sideline_363,787,13,232,11,H36
8128,57995_000109_Sideline_363,805,15,389,14,H94
8129,57995_000109_Sideline_363,735,11,178,12,V12
8130,57995_000109_Sideline_363,697,12,313,12,H52
8131,57995_000109_Sideline_363,629,13,349,12,V60
8132,57995_000109_Sideline_363,962,13,262,13,H21
8133,57995_000109_Sideline_363,727,12,134,11,H23
8134,57995_000109_Sideline_363,473,13,421,12,V75
8135,57995_000109_Sideline_363,663,13,181,14,H93
8142,57995_000109_Sideline_363,764,10,144,12,H30
8147,57995_000109_Sideline_364,881,13,323,13,V17
8148,57995_000109_Sideline_364,727,14,353,13,H91
8149,57995_000109_Sideline_364,432,15,413,14,H99
8150,57995_000109_Sideline_364,471,12,422,14,V75
8151,57995_000109_Sideline_364,658,14,273,14,H97
8152,57995_000109_Sideline_364,691,14,397,13,V77
8153,57995_000109_Sideline_364,422,12,305,12,V74
8154,57995_000109_Sideline_364,803,14,390,13,H94
8155,57995_000109_Sideline_364,628,14,350,12,V60
8156,57995_000109_Sideline_364,311,14,386,14,V65
8157,57995_000109_Sideline_364,541,12,209,12,V83
8158,57995_000109_Sideline_364,887,13,200,13,H59
8159,57995_000109_Sideline_364,696,13,314,12,H52
8160,57995_000109_Sideline_364,786,13,232,12,H36
8161,57995_000109_Sideline_364,962,12,262,12,H21
8162,57995_000109_Sideline_364,737,13,223,12,V68
8163,57995_000109_Sideline_364,735,10,179,11,V12
8164,57995_000109_Sideline_364,727,11,134,12,H30
8165,57995_000109_Sideline_364,662,13,182,13,H93
8178,57995_000109_Sideline_365,431,15,415,14,H99
8179,57995_000109_Sideline_365,727,14,354,13,H91
8180,57995_000109_Sideline_365,802,15,391,14,H94
8181,57995_000109_Sideline_365,880,13,324,12,V17
8182,57995_000109_Sideline_365,419,13,307,13,V74
8183,57995_000109_Sideline_365,657,14,274,14,H97
8184,57995_000109_Sideline_365,309,13,388,13,V65
8185,57995_000109_Sideline_365,690,15,397,14,V77
8186,57995_000109_Sideline_365,468,13,423,13,V75
8187,57995_000109_Sideline_365,628,13,351,12,V60
8188,57995_000109_Sideline_365,737,13,224,12,V68
8189,57995_000109_Sideline_365,540,12,210,12,V83
8190,57995_000109_Sideline_365,785,12,233,10,H36
8191,57995_000109_Sideline_365,726,13,134,12,H30
8192,57995_000109_Sideline_365,695,12,314,13,H52
8193,57995_000109_Sideline_365,960,13,263,11,H21
8194,57995_000109_Sideline_365,886,11,201,12,H59
8195,57995_000109_Sideline_365,662,13,182,12,H93
8196,57995_000109_Sideline_365,732,12,179,12,V12
8205,57995_000109_Sideline_366,726,14,355,14,H91
8206,57995_000109_Sideline_366,880,12,324,12,V17
8207,57995_000109_Sideline_366,803,14,393,13,H94
8208,57995_000109_Sideline_366,307,13,390,13,V65
8209,57995_000109_Sideline_366,430,15,416,14,H99
8210,57995_000109_Sideline_366,737,13,224,14,V68
8211,57995_000109_Sideline_366,690,14,398,14,V77
8212,57995_000109_Sideline_366,466,13,423,14,V75
8213,57995_000109_Sideline_366,626,13,353,12,V60
8214,57995_000109_Sideline_366,539,13,211,12,V83
8215,57995_000109_Sideline_366,417,13,309,12,V74
8216,57995_000109_Sideline_366,657,14,275,14,H97
8217,57995_000109_Sideline_366,783,13,234,10,H36
8218,57995_000109_Sideline_366,693,14,317,11,H52
8219,57995_000109_Sideline_366,662,12,182,12,H93
8220,57995_000109_Sideline_366,885,11,201,12,H59
8221,57995_000109_Sideline_366,959,13,263,12,H21
8222,57995_000109_Sideline_366,725,12,134,13,H30
8223,57995_000109_Sideline_366,731,12,179,13,V12
8235,57995_000109_Sideline_367,879,13,324,12,V17
8236,57995_000109_Sideline_367,416,12,311,13,V74
8237,57995_000109_Sideline_367,305,14,392,13,V65
8238,57995_000109_Sideline_367,725,13,357,13,H91
8239,57995_000109_Sideline_367,465,13,426,13,V75
8240,57995_000109_Sideline_367,690,14,400,13,V77
8241,57995_000109_Sideline_367,626,12,353,13,V60
8242,57995_000109_Sideline_367,430,14,418,13,H99
8243,57995_000109_Sideline_367,692,13,318,12,H52
8244,57995_000109_Sideline_367,958,13,264,13,H21
8245,57995_000109_Sideline_367,537,13,213,12,V83
8246,57995_000109_Sideline_367,802,15,395,13,H94
8247,57995_000109_Sideline_367,657,14,277,12,H97
8248,57995_000109_Sideline_367,737,11,227,13,V68
8249,57995_000109_Sideline_367,661,12,184,11,H93
8250,57995_000109_Sideline_367,783,12,236,10,H36
8251,57995_000109_Sideline_367,730,12,180,13,V12
8252,57995_000109_Sideline_367,885,11,202,11,H59
8253,57995_000109_Sideline_367,725,11,135,13,H30
8264,57995_000109_Sideline_368,878,13,325,12,V17
8265,57995_000109_Sideline_368,690,13,401,13,V77
8266,57995_000109_Sideline_368,414,12,313,12,V74
8267,57995_000109_Sideline_368,725,12,358,12,H91
8268,57995_000109_Sideline_368,625,13,355,12,V60
8269,57995_000109_Sideline_368,657,13,278,12,H97
8270,57995_000109_Sideline_368,429,14,420,13,H99
8271,57995_000109_Sideline_368,462,14,428,12,V75
8272,57995_000109_Sideline_368,537,12,213,13,V83
8273,57995_000109_Sideline_368,802,14,396,14,H94
8274,57995_000109_Sideline_368,303,13,394,12,V65
8275,57995_000109_Sideline_368,692,12,319,11,H52
8276,57995_000109_Sideline_368,957,13,264,13,H21
8277,57995_000109_Sideline_368,737,11,228,13,V68
8278,57995_000109_Sideline_368,661,12,184,12,H93
8279,57995_000109_Sideline_368,783,12,237,10,H36
8280,57995_000109_Sideline_368,725,12,135,13,H23
8282,57995_000109_Sideline_368,885,11,203,11,H59
8288,57995_000109_Sideline_368,728,13,181,12,V12
8292,57995_000109_Sideline_368,765,11,145,12,H30
8294,57995_000109_Sideline_369,690,14,402,13,V77
8295,57995_000109_Sideline_369,725,12,359,12,H91
8296,57995_000109_Sideline_369,460,13,429,12,V75
8297,57995_000109_Sideline_369,536,13,215,12,V83
8298,57995_000109_Sideline_369,301,13,395,12,V65
8299,57995_000109_Sideline_369,877,13,326,12,V17
8300,57995_000109_Sideline_369,412,13,315,13,V74
8301,57995_000109_Sideline_369,957,13,266,12,H21
8302,57995_000109_Sideline_369,656,13,279,12,H97
8303,57995_000109_Sideline_369,802,14,396,14,H94
8304,57995_000109_Sideline_369,661,12,185,12,H93
8305,57995_000109_Sideline_369,429,13,421,12,H99
8306,57995_000109_Sideline_369,691,13,319,12,H52
8307,57995_000109_Sideline_369,625,12,356,12,V60
8308,57995_000109_Sideline_369,736,11,229,12,V68
8309,57995_000109_Sideline_369,782,11,237,11,H36
8310,57995_000109_Sideline_369,724,12,135,13,H30
8311,57995_000109_Sideline_369,883,13,204,12,H59
8314,57995_000109_Sideline_369,727,12,182,12,V12
816,57995_000109_Sideline_37,796,17,481,18,H21
817,57995_000109_Sideline_37,1098,17,325,18,H30
818,57995_000109_Sideline_37,677,16,230,16,H59
819,57995_000109_Sideline_37,740,16,148,17,H23
820,57995_000109_Sideline_37,681,16,314,17,H52
821,57995_000109_Sideline_37,463,14,175,16,V12
822,57995_000109_Sideline_37,523,15,213,18,H93
823,57995_000109_Sideline_37,190,15,323,17,V27
824,57995_000109_Sideline_37,675,17,395,17,H36
825,57995_000109_Sideline_37,474,15,223,14,V83
826,57995_000109_Sideline_37,508,18,415,17,H94
827,57995_000109_Sideline_37,495,15,285,17,V68
828,57995_000109_Sideline_37,519,15,281,17,H97
829,57995_000109_Sideline_37,476,16,374,18,V75
830,57995_000109_Sideline_37,461,16,395,18,V77
831,57995_000109_Sideline_37,410,14,317,16,V15
832,57995_000109_Sideline_37,441,14,460,14,V17
833,57995_000109_Sideline_37,497,16,379,17,H91
834,57995_000109_Sideline_37,470,16,261,20,V74
835,57995_000109_Sideline_37,483,15,329,19,V65
836,57995_000109_Sideline_37,507,14,321,17,H99
8322,57995_000109_Sideline_370,690,14,403,13,V77
8323,57995_000109_Sideline_370,724,13,359,12,H91
8324,57995_000109_Sideline_370,657,13,280,11,H97
8325,57995_000109_Sideline_370,661,12,185,13,H93
8326,57995_000109_Sideline_370,877,13,327,12,V17
8327,57995_000109_Sideline_370,535,14,215,13,V83
8328,57995_000109_Sideline_370,410,14,317,13,V74
8329,57995_000109_Sideline_370,458,13,430,13,V75
8330,57995_000109_Sideline_370,955,13,267,12,H21
8331,57995_000109_Sideline_370,802,14,397,14,H94
8332,57995_000109_Sideline_370,299,14,396,14,V65
8333,57995_000109_Sideline_370,781,11,238,11,H36
8334,57995_000109_Sideline_370,690,13,320,13,H52
8335,57995_000109_Sideline_370,625,12,358,12,V60
8336,57995_000109_Sideline_370,737,11,229,13,V68
8337,57995_000109_Sideline_370,724,12,135,14,H30
8338,57995_000109_Sideline_370,882,13,205,12,H59
8339,57995_000109_Sideline_370,429,13,422,13,H99
8341,57995_000109_Sideline_370,728,12,183,12,V12
8353,57995_000109_Sideline_371,690,14,403,14,V77
8354,57995_000109_Sideline_371,724,13,359,13,H91
8355,57995_000109_Sideline_371,408,15,318,14,V74
8356,57995_000109_Sideline_371,297,14,398,14,V65
8357,57995_000109_Sideline_371,656,14,280,12,H97
8358,57995_000109_Sideline_371,876,13,327,13,V17
8359,57995_000109_Sideline_371,956,13,267,13,H21
8360,57995_000109_Sideline_371,534,14,216,13,V83
8361,57995_000109_Sideline_371,457,13,432,13,V75
8362,57995_000109_Sideline_371,661,12,186,13,H93
8363,57995_000109_Sideline_371,690,13,320,13,H52
8364,57995_000109_Sideline_371,428,13,423,14,H99
8365,57995_000109_Sideline_371,802,14,398,14,H94
8366,57995_000109_Sideline_371,737,11,230,12,V68
8367,57995_000109_Sideline_371,781,11,239,11,H36
8368,57995_000109_Sideline_371,623,12,359,12,V60
8369,57995_000109_Sideline_371,724,12,136,13,H23
8371,57995_000109_Sideline_371,883,12,205,12,H59
8372,57995_000109_Sideline_371,728,12,184,12,V12
8382,57995_000109_Sideline_371,750,11,152,12,H30
8384,57995_000109_Sideline_372,690,14,405,13,V77
8385,57995_000109_Sideline_372,724,13,360,13,H91
8386,57995_000109_Sideline_372,408,13,320,13,V74
8387,57995_000109_Sideline_372,656,14,281,12,H97
8388,57995_000109_Sideline_372,534,13,217,13,V83
8389,57995_000109_Sideline_372,800,16,399,13,H94
8390,57995_000109_Sideline_372,295,14,400,13,V65
8391,57995_000109_Sideline_372,454,14,433,14,V75
8392,57995_000109_Sideline_372,877,11,328,12,V17
8393,57995_000109_Sideline_372,661,12,187,13,H93
8394,57995_000109_Sideline_372,690,12,322,12,H52
8395,57995_000109_Sideline_372,737,11,230,13,V68
8396,57995_000109_Sideline_372,955,12,269,12,H21
8397,57995_000109_Sideline_372,427,14,423,14,H99
8398,57995_000109_Sideline_372,781,11,241,11,H36
8399,57995_000109_Sideline_372,621,12,360,12,V60
8400,57995_000109_Sideline_372,881,13,206,12,H59
8401,57995_000109_Sideline_372,727,12,185,11,V12
8402,57995_000109_Sideline_372,723,13,136,13,H30
8416,57995_000109_Sideline_373,691,13,406,13,V77
8417,57995_000109_Sideline_373,723,14,360,13,H91
8418,57995_000109_Sideline_373,737,11,231,12,V68
8419,57995_000109_Sideline_373,453,13,436,12,V75
8420,57995_000109_Sideline_373,876,13,330,11,V17
8421,57995_000109_Sideline_373,407,13,322,13,V74
8422,57995_000109_Sideline_373,661,11,188,12,H93
8423,57995_000109_Sideline_373,294,13,401,13,V65
8424,57995_000109_Sideline_373,656,14,283,12,H97
8425,57995_000109_Sideline_373,802,14,401,13,H94
8426,57995_000109_Sideline_373,880,13,207,12,H59
8427,57995_000109_Sideline_373,533,12,218,12,V83
8428,57995_000109_Sideline_373,689,12,323,12,H52
8429,57995_000109_Sideline_373,780,11,240,12,H36
8430,57995_000109_Sideline_373,727,11,187,11,V12
8431,57995_000109_Sideline_373,955,12,269,12,H21
8432,57995_000109_Sideline_373,427,14,426,12,H99
8433,57995_000109_Sideline_373,622,12,361,12,V60
8436,57995_000109_Sideline_373,722,13,138,11,H30
8445,57995_000109_Sideline_374,736,13,232,12,V68
8446,57995_000109_Sideline_374,723,14,361,14,H91
8447,57995_000109_Sideline_374,691,13,408,13,V77
8448,57995_000109_Sideline_374,292,14,403,13,V65
8449,57995_000109_Sideline_374,406,12,323,13,V74
8450,57995_000109_Sideline_374,532,14,218,12,V83
8451,57995_000109_Sideline_374,451,14,437,13,V75
8452,57995_000109_Sideline_374,880,13,208,13,H59
8453,57995_000109_Sideline_374,660,12,190,11,H93
8454,57995_000109_Sideline_374,801,14,401,13,H94
8455,57995_000109_Sideline_374,778,12,243,11,H36
8456,57995_000109_Sideline_374,875,13,330,13,V17
8457,57995_000109_Sideline_374,688,12,323,12,H52
8458,57995_000109_Sideline_374,427,14,427,13,H99
8459,57995_000109_Sideline_374,722,12,138,12,H23
8460,57995_000109_Sideline_374,656,13,284,12,H97
8464,57995_000109_Sideline_374,621,12,363,13,V60
8465,57995_000109_Sideline_374,954,13,270,11,H21
8466,57995_000109_Sideline_374,726,11,189,10,V12
8475,57995_000109_Sideline_375,735,13,233,12,V68
8476,57995_000109_Sideline_375,403,14,324,13,V74
8477,57995_000109_Sideline_375,776,13,243,11,H36
8478,57995_000109_Sideline_375,722,15,362,14,H91
8479,57995_000109_Sideline_375,691,13,410,13,V77
8480,57995_000109_Sideline_375,290,13,405,13,V65
8481,57995_000109_Sideline_375,802,13,403,13,H94
8482,57995_000109_Sideline_375,880,12,209,12,H59
8483,57995_000109_Sideline_375,875,13,331,12,V17
8484,57995_000109_Sideline_375,953,13,270,11,H21
8485,57995_000109_Sideline_375,450,12,439,13,V75
8487,57995_000109_Sideline_375,660,12,191,12,H93
8488,57995_000109_Sideline_375,532,12,219,12,V83
8489,57995_000109_Sideline_375,721,12,139,11,H23
8490,57995_000109_Sideline_375,686,12,323,12,H52
8491,57995_000109_Sideline_375,620,12,365,13,V60
8492,57995_000109_Sideline_375,724,11,190,11,V12
8493,57995_000109_Sideline_375,655,13,285,12,H97
8495,57995_000109_Sideline_375,425,15,429,12,H99
8502,57995_000109_Sideline_376,875,13,333,12,V17
8503,57995_000109_Sideline_376,735,13,233,12,V68
8504,57995_000109_Sideline_376,402,13,325,13,V74
8505,57995_000109_Sideline_376,879,13,209,12,H59
8506,57995_000109_Sideline_376,722,15,363,13,H91
8507,57995_000109_Sideline_376,655,13,286,13,H97
8508,57995_000109_Sideline_376,531,13,219,12,V83
8509,57995_000109_Sideline_376,288,13,406,12,V65
8510,57995_000109_Sideline_376,691,12,412,12,V77
8511,57995_000109_Sideline_376,775,12,243,11,H36
8512,57995_000109_Sideline_376,954,11,269,12,H21
8513,57995_000109_Sideline_376,660,12,192,11,H93
8514,57995_000109_Sideline_376,685,12,323,12,H52
8515,57995_000109_Sideline_376,449,12,441,12,V75
8516,57995_000109_Sideline_376,617,14,366,13,V60
8518,57995_000109_Sideline_376,802,14,403,12,H94
8520,57995_000109_Sideline_376,721,12,139,11,V27
8521,57995_000109_Sideline_376,725,11,191,12,V12
8523,57995_000109_Sideline_376,426,14,430,12,H99
8529,57995_000109_Sideline_376,757,10,151,12,H30
8530,57995_000109_Sideline_376,742,12,157,12,H23
8535,57995_000109_Sideline_377,654,13,288,12,H97
8536,57995_000109_Sideline_377,875,12,334,12,V17
8537,57995_000109_Sideline_377,735,13,234,12,V68
8538,57995_000109_Sideline_377,772,13,244,10,H36
8539,57995_000109_Sideline_377,401,14,326,12,V74
8540,57995_000109_Sideline_377,691,12,414,12,V77
8541,57995_000109_Sideline_377,879,13,209,12,H59
8542,57995_000109_Sideline_377,685,12,323,12,H52
8543,57995_000109_Sideline_377,616,14,368,13,V60
8544,57995_000109_Sideline_377,287,13,408,12,V65
8545,57995_000109_Sideline_377,722,14,364,13,H91
8546,57995_000109_Sideline_377,530,12,219,12,V83
